address,city,state,zip_code,property_type,lot_size_sqft,sold_date,sale_price($),lot_size_acres,latitude,longitude,price_per_acre,cluster,cluster_label,cluster_optimal,cluster_label_optimal,sold_month,sold_year,cluster_final,cluster_label_final,geo_cluster,neighborhood_name,area_cluster,area_name,manual_cluster,final_area_name,sold_quarter,sold_month_num
1011 Cawthorne Ln,Greensboro,GA,30642,Land,52272,2025-03-28,360000,1.2,33.42081362,-83.22740072,300000.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-03,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q1,3
1251 Pullman Cir,Greensboro,GA,30642,Land,28750,2025-01-23,59900,0.66,33.54170024,-83.26904622,90757.57575757576,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-01,2025,1,Mainstream Premium - Standard Lots,7,West Greensboro Affordable Area,7,West Greensboro Affordable Neighborhood,6,West Greensboro Affordable Neighborhood,2025Q1,1
1010 Pine Bluff Cir,Greensboro,GA,30642,Land,14810,2025-08-29,660000,0.34,33.47148181,-83.26917523,1941176.4705882352,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-08,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q3,8
1191 Mill Crk,Greensboro,GA,30642,Land,21780,2025-03-13,540000,0.5,33.580068,-83.191988,1080000.0,1,Budget Tier - Entry Level Land,0,Mid-Market - Balanced Value,2025-03,2025,1,Mainstream Premium - Standard Lots,-1,,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2025Q1,3
0 East Broad St,Greensboro,GA,30642,Land,30492,2024-11-22,28000,0.7,33.5784582,-83.1703827,40000.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2024-11,2024,0,Mainstream Economy - Large Lots,2,Central Greensboro Affordable Area,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2024Q4,11
1790 Snug Harbor Dr,Greensboro,GA,30642,Land,26136,2025-04-28,285000,0.6,33.47409415,-83.26586606,475000.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q2,4
1810 Garners Fry,Greensboro,GA,30642,Land,27007,2025-01-27,55000,0.62,33.46532179,-83.26174024,88709.67741935483,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-01,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q1,1
1101 Bennett Springs Dr,Greensboro,GA,30642,Land,49658,2025-09-23,50000,1.14,33.41748814,-83.23020669,43859.64912280702,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-09,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q3,9
1111 Pullman Cir,Greensboro,GA,30642,Land,29185,2024-12-19,171500,0.67,33.54068311,-83.2678712,255970.14925373133,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-12,2024,1,Mainstream Premium - Standard Lots,7,West Greensboro Affordable Area,7,West Greensboro Affordable Neighborhood,6,West Greensboro Affordable Neighborhood,2024Q4,12
1033 Grove Ridge Vw,Greensboro,GA,30642,Land,54886,2024-09-27,725000,1.26,33.46778693,-83.23409942,575396.8253968254,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-09,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2024Q3,9
1671 Arrowhead Rd,Greensboro,GA,30642,Land,51836,2025-07-28,150000,1.19,33.60653496,-83.27007794,126050.42016806723,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-07,2025,1,Mainstream Premium - Standard Lots,-1,,7,West Greensboro Affordable Neighborhood,6,West Greensboro Affordable Neighborhood,2025Q3,7
1221 Callaway Rd,Union Point,GA,30669,Land,270072,2025-04-29,120000,6.2,33.666877,-83.1884007,19354.83870967742,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-04,2025,0,Mainstream Economy - Large Lots,-1,,5,North Greensboro Affordable Neighborhood,1,Union Point Affordable Area,2025Q2,4
1041 East Village Walk,Greensboro,GA,30642,Land,6534,2025-03-14,600000,0.15,33.41294314,-83.220856,4000000.0,2,Luxury Tier - Exclusive Properties,2,Premium Tier - High-Value Properties,2025-03,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q1,3
10 Cunningham Rd,Greensboro,GA,30642,Land,43560,2025-07-18,5000,1.0,33.6329289,-83.1252925,5000.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-07,2025,0,Mainstream Economy - Large Lots,-1,,4,North East Greensboro Affordable Neighborhood,4,East Greensboro Affordable District,2025Q3,7
